Free Throw Attempts
2005-06 NBA 598 (10th)
2006-07 NBA 666 (4th)
2007-08 NBA 897 (1st)
2008-09 NBA 849 (1st)
2009-10 NBA 816 (2nd)
2010-11 NBA 916 (1st)
2011-12 NBA 572 (1st)
2012-13 NBA 721 (3rd)
2013-14 NBA 638 (4th)
Active 8074 (3rd)
Career NBA 8074 (19th)
Career 8074 (21st)
