Blocks Per Game
2007-08 NBA 2.1 (5th)
2008-09 NBA 2.9 (1st)
2009-10 NBA 2.8 (1st)
2010-11 NBA 2.4 (4th)
2011-12 NBA 2.1 (3rd)
2012-13 NBA 2.4 (5th)
2013-14 NBA 1.8 (7th)
Active 2.0 (2nd)
Career NBA 2.0 (20th)
Career 2.0 (21st)
