Total Rebound Pct
2005-06 NBA 20.9 (3rd)
2006-07 NBA 20.5 (4th)
2007-08 NBA 21.7 (1st)
2008-09 NBA 21.8 (2nd)
2009-10 NBA 22.0 (2nd)
2010-11 NBA 21.8 (4th)
2011-12 NBA 21.9 (2nd)
2012-13 NBA 19.1 (6th)
2013-14 NBA 20.1 (5th)
2015-16 NBA 20.2 (7th)
2016-17 NBA 24.2 (2nd)
Active 20.8 (1st)
Career NBA 20.8 (3rd)
Career 20.8 (4th)
