Rebounds Per Game
2004-05 NBA 10.0 (8th)
2005-06 NBA 12.5 (2nd)
2006-07 NBA 12.3 (3rd)
2007-08 NBA 14.2 (1st)
2008-09 NBA 13.8 (1st)
2009-10 NBA 13.2 (1st)
2010-11 NBA 14.1 (2nd)
2011-12 NBA 14.5 (1st)
2012-13 NBA 12.4 (1st)
2013-14 NBA 12.2 (4th)
2015-16 NBA 11.8 (4th)
2016-17 NBA 13.0 (4th)
Active 12.7 (1st)
Career NBA 12.7 (13th)
Career 12.7 (13th)
