Season,Team,Lg,Salary
2004-05,Orlando Magic,NBA,"$4,179,720"
2005-06,Orlando Magic,NBA,"$4,493,160"
2006-07,Orlando Magic,NBA,"$4,806,720"
2007-08,Orlando Magic,NBA,"$6,061,274"
2008-09,Orlando Magic,NBA,"$13,758,000"
2009-10,Orlando Magic,NBA,"$15,202,590"
2010-11,Orlando Magic,NBA,"$16,647,180"
2011-12,Orlando Magic,NBA,"$18,091,770"
2012-13,Los Angeles Lakers,NBA,"$19,536,360"
2013-14,Houston Rockets,NBA,"$20,513,178"
2014-15,Houston Rockets,NBA,"$21,436,271"
2015-16,Houston Rockets,NBA,"$22,359,364"
