True Shooting Pct
2000-01 NBA .603 (3rd)
2001-02 NBA .602 (5th)
2003-04 NBA .590 (6th)
2004-05 NBA .606 (8th)
2005-06 NBA .632 (1st)
2006-07 NBA .654 (1st)
2007-08 NBA .641 (3rd)
2008-09 NBA .615 (8th)
2009-10 NBA .615 (4th)
2011-12 NBA .625 (5th)
Career NBA .605 (15th)
Career .605 (17th)
