Offensive Win Shares
2001-02 NBA 9.5 (5th)
2002-03 NBA 9.7 (6th)
2003-04 NBA 8.9 (4th)
2004-05 NBA 9.7 (7th)
2005-06 NBA 10.3 (6th)
2006-07 NBA 10.8 (2nd)
2007-08 NBA 9.0 (6th)
2008-09 NBA 6.7 (10th)
2009-10 NBA 9.1 (3rd)
Career NBA 113.7 (14th)
Career 113.7 (16th)
