Assists Per Game
2001-02 NBA 7.7 (9th)
2002-03 NBA 7.3 (8th)
2003-04 NBA 8.8 (3rd)
2004-05 NBA 11.5 (1st)
2005-06 NBA 10.5 (1st)
2006-07 NBA 11.6 (1st)
2007-08 NBA 11.1 (2nd)
2008-09 NBA 9.7 (3rd)
2009-10 NBA 11.0 (1st)
2010-11 NBA 11.4 (1st)
2011-12 NBA 10.7 (2nd)
Career NBA 8.5 (10th)
Career 8.5 (10th)
