2-Pt Field Goal Pct
2000-01 NBA .518 (9th)
2005-06 NBA .548 (6th)
2006-07 NBA .575 (7th)
2011-12 NBA .580 (2nd)
Career NBA .518 (89th)
Career .518 (93rd)
