Free Throw Pct
2000-01 NBA .895 (4th)
2001-02 NBA .887 (5th)
2002-03 NBA .909 (3rd)
2003-04 NBA .916 (2nd)
2004-05 NBA .887 (6th)
2005-06 NBA .921 (1st)
2006-07 NBA .899 (5th)
2007-08 NBA .906 (5th)
2008-09 NBA .933 (3rd)
2009-10 NBA .938 (1st)
2010-11 NBA .912 (3rd)
2011-12 NBA .894 (4th)
Career NBA .904 (1st)
Career .904 (1st)
