Offensive Box Plus/Minus
2001-02 NBA 5.4 (3rd)
2002-03 NBA 5.5 (5th)
2003-04 NBA 4.7 (8th)
2005-06 NBA 5.4 (9th)
2006-07 NBA 6.1 (3rd)
2007-08 NBA 4.8 (6th)
2009-10 NBA 4.9 (6th)
Career NBA 4.0 (22nd)
Career 4.0 (23rd)
