Effective Field Goal Pct
2000-01 NBA .544 (6th)
2001-02 NBA .554 (5th)
2003-04 NBA .531 (7th)
2004-05 NBA .557 (7th)
2005-06 NBA .583 (2nd)
2006-07 NBA .613 (1st)
2007-08 NBA .597 (4th)
2008-09 NBA .566 (8th)
2009-10 NBA .570 (7th)
2011-12 NBA .581 (3rd)
Career NBA .556 (20th)
Career .556 (21st)
