Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Brian Cardinal,,7.2,3.5,1.7,0.9,0.9,0.6,0.4,0.2,0.0,0.0,0.0,0.0
Ben Warley,82.4,6.3,3.8,1.7,1.5,1.4,0.8,0.6,0.5,,,,
Terrence Jones,80.8,7.3,3.0,1.5,0.7,,,,,,,,
Fabricio Oberto,78.5,6.1,4.1,1.7,1.1,0.6,0.0,,,,,,
Jae Crowder,78.2,7.3,3.9,2.3,1.5,,,,,,,,
Josh McRoberts,75.4,6.5,4.9,2.2,1.5,1.4,0.8,0.4,0.4,0.1,,,
Markieff Morris,75.3,6.4,4.6,1.7,1.5,0.5,,,,,,,
Larry Krystkowiak,73.5,6.3,2.6,2.1,1.8,1.4,1.0,0.3,0.1,0.1,,,
Toby Knight,72.9,7.3,5.7,1.6,1.1,,,,,,,,
Monk Meineke,72.1,6.1,3.7,2.6,1.8,0.7,,,,,,,
Don May,72.0,6.1,2.9,1.3,0.5,0.3,0.2,0.0,,,,,
