Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,23,LAL,NBA,SG,4,0,10,7.2,10.8,.667,3.6,3.6,1.000,3.6,7.2,.500,0.0,0.0,,0.0,3.6,3.6,0.0,0.0,0.0,0.0,3.6,18.0
2012-13,24,LAL,NBA,SG,3,2,80,7.2,16.2,.444,0.9,4.5,.200,6.3,11.7,.538,0.9,0.9,1.000,0.5,1.8,2.3,1.4,2.3,0.0,1.8,3.2,16.2
2015-16,27,HOU,NBA,PG,2,0,11,9.8,19.6,.500,0.0,3.3,.000,9.8,16.4,.600,0.0,0.0,,0.0,6.5,6.5,0.0,0.0,0.0,9.8,0.0,19.6
