Player,Sim,1,2,3,4,5,6,7
Toney Douglas,,4.2,2.5,2.4,2.2,0.9,0.2,-0.6
Trenton Hassell,86.0,4.0,2.7,2.6,2.3,1.5,0.2,-0.1
Kevin Ollie,85.3,3.8,2.4,2.4,1.4,0.9,0.0,-0.1
Sonny Hertzberg,84.6,4.0,2.5,2.3,1.4,0.7,,
Armond Hill,84.0,4.2,2.6,2.5,1.0,0.8,0.5,-0.4
Devean George,83.2,4.2,3.4,2.7,2.6,0.7,0.3,-0.3
John Bagley,83.1,4.6,3.0,2.6,2.6,0.9,0.4,-0.2
Joe Hamilton,82.5,4.1,2.9,2.9,2.2,0.2,0.2,
Lee Winfield,82.1,4.5,2.8,2.4,1.6,0.5,0.4,-0.1
Kevin Edwards,81.4,5.1,2.5,2.4,1.6,0.6,0.3,-0.2
Charlie Bell,81.4,4.0,3.3,2.2,2.0,1.3,-0.1,-0.2
