Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2009-10,23,NYK,NBA,PG,56,1087,.458,15.6,.552,.289,.056,.064,.143,.448,.514,.575,.500,.440,.429,.389,.315,.005,2,.588,.189,.485,3,0
2010-11,24,NYK,NBA,SG,81,1971,.416,17.1,.493,.180,.113,.086,.114,.507,.460,.618,.353,.385,.372,.373,.339,.000,0,.692,.214,.366,3,0
2011-12,25,NYK,NBA,PG,38,656,.324,16.2,.597,.166,.134,.124,.172,.403,.387,.542,.308,.389,.300,.231,.328,.000,0,.852,.111,.308,0,0
2012-13,26,TOT,NBA,PG,71,1289,.403,15.4,.536,.225,.139,.092,.079,.464,.424,.562,.385,.302,.243,.380,.387,.002,1,.817,.366,.430,1,1
2012-13,26,HOU,NBA,PG,49,913,.395,15.4,.540,.222,.142,.094,.082,.460,.411,.526,.420,.303,.207,.377,.385,.000,0,.869,.395,.391,1,1
2012-13,26,SAC,NBA,PG,22,376,.430,15.5,.526,.237,.132,.088,.070,.474,.467,.667,.267,.300,.375,.389,.393,.009,1,.667,.278,.600,0,0
2013-14,27,TOT,NBA,PG,51,675,.384,17.2,.463,.232,.068,.053,.111,.537,.477,.591,.154,.600,.381,.304,.548,.000,0,.871,.333,.294,2,0
2013-14,27,GSW,NBA,PG,24,265,.372,21.6,.314,.093,.047,.058,.116,.686,.481,.750,.000,.600,.400,.322,.769,.000,0,.842,.254,.400,2,0
2013-14,27,MIA,NBA,PG,27,410,.394,13.6,.587,.346,.087,.048,.106,.413,.475,.556,.222,.600,.364,.279,.448,.000,0,.917,.442,.211,0,0
2014-15,28,NOP,NBA,SG,12,177,.373,15.3,.647,.176,.157,.137,.176,.353,.424,1.000,.250,.000,.333,.278,.071,.000,0,1.000,.278,.600,0,0
2015-16,29,NOP,NBA,PG,61,1262,.411,16.1,.544,.200,.101,.106,.139,.456,.421,.584,.333,.234,.403,.399,.402,.000,0,.679,.187,.526,1,0
2016-17,30,MEM,NBA,PG,8,117,.385,15.1,.692,.179,.154,.154,.231,.308,.444,.571,.167,.333,.556,.250,.417,.000,0,.333,.000,,0,0
