Player,Sim,1,2,3,4,5,6,7,8,9
Toney Douglas,,4.2,2.5,2.4,2.2,0.9,0.2,-0.6,,
Brandon Rush,85.0,3.5,2.6,2.5,2.0,0.9,0.0,-0.3,-0.4,
Sonny Hertzberg,84.6,4.0,2.5,2.3,1.4,0.7,,,,
Joe Hamilton,82.5,4.1,2.9,2.9,2.2,0.2,0.2,,,
Lee Winfield,82.1,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,,
Charlie Bell,81.4,4.0,3.3,2.2,2.0,1.3,-0.1,-0.2,,
Trenton Hassell,80.3,4.0,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1
Armond Hill,79.8,4.2,2.6,2.5,1.0,0.8,0.5,0.0,-0.4,
Charlie Criss,78.8,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0.0,
Evan Turner,78.5,4.0,2.5,2.4,2.3,2.1,1.4,,,
Avery Bradley,78.4,4.8,2.5,2.4,1.8,0.4,-0.5,,,
