Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Chris Mihm,,4.0,3.6,2.9,1.3,0.9,0.7,0.1,0.0,,,,
DeSagana Diop,89.5,4.1,3.8,3.0,1.4,1.0,0.4,0.0,-0.1,-0.1,-0.2,-0.2,-0.3
Lee Davis,80.9,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,,,,
Hank Finkel,80.0,3.4,3.4,2.3,1.2,1.0,0.9,0.9,0.4,0.0,,,
Rick Roberson,79.8,3.6,3.5,3.2,3.0,1.0,0.4,0.0,,,,,
Joel Anthony,78.9,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.2,,,
George Peeples,78.0,4.1,3.2,2.1,1.5,0.2,0.0,,,,,,
Dan Gadzuric,77.8,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0.0,,
Leon Douglas,77.0,3.6,3.2,3.1,2.1,2.1,1.0,0.0,,,,,
Jake Voskuhl,76.5,3.3,2.7,2.5,1.7,1.0,0.6,0.2,0.0,-0.3,,,
Duane Causwell,75.7,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.7,0.5,0.0,0.0,
