Player,Sim,1,2,3,4,5,6,7
Wesley Matthews,,8.2,7.2,6.2,4.8,4.7,4.6,3.7
Mitch Richmond,93.4,8.0,7.1,6.4,5.6,5.2,4.9,3.1
Slater Martin,92.6,8.2,6.3,6.2,6.1,4.7,4.2,3.5
Damon Stoudamire,91.4,7.6,6.7,6.6,6.1,4.7,4.3,3.6
Cuttino Mobley,90.6,8.2,7.6,6.9,5.7,5.2,4.4,2.3
Norm Nixon,89.9,9.6,6.7,6.6,5.5,5.4,4.5,3.9
Alvin Robertson,89.0,8.6,7.7,7.5,5.8,5.3,4.4,3.1
Vern Fleming,88.9,8.4,7.0,6.9,6.7,5.6,4.4,3.3
Charlie Scott,88.9,7.4,7.2,6.5,6.4,4.7,3.9,2.5
Dick Barnett,88.4,8.0,8.0,6.5,5.8,4.7,3.4,2.2
Eddie Johnson,87.8,8.2,6.9,6.3,4.8,3.5,3.0,1.7
