3-Pt Field Goals
2010-11 NBA 154 (7th)
2011-12 NBA 129 (5th)
2013-14 NBA 201 (5th)
2014-15 NBA 173 (9th)
2015-16 NBA 189 (10th)
Career NBA 1210 (54th)
Career 1210 (54th)
