3-Pt Field Goal Attempts
2011-12 NBA 337 (6th)
2013-14 NBA 511 (4th)
2015-16 NBA 525 (7th)
2016-17 NBA 345 (9th)
Career NBA 3131 (62nd)
Career 3131 (62nd)
