Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Wesley Matthews,,8.2,7.2,6.2,4.8,4.7,4.6,3.7,,,,
Gene Shue,88.1,8.5,7.6,5.6,5.6,4.6,4.6,2.4,0.7,0.4,-1.1,
Eddie Johnson,86.6,8.2,6.9,6.3,4.8,4.2,3.5,3.0,1.7,1.5,0.8,
Kyle Macy,86.1,9.2,6.4,5.0,4.6,4.5,3.9,2.4,,,,
Jay Humphries,85.8,8.6,7.6,5.8,4.9,4.8,4.5,3.5,2.0,1.9,1.8,-0.4
Brian Taylor,85.0,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,
Steve Jones,84.0,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8,,
Micheal Ray Richardson,82.9,8.7,6.9,6.0,5.5,3.3,2.4,2.0,0.3,,,
Michael Adams,82.9,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1
J.J. Redick,82.5,6.7,6.7,6.5,5.2,4.5,4.5,3.0,2.3,1.7,0.5,
Phil Smith,82.1,9.4,7.0,6.3,5.2,4.8,2.9,2.2,1.7,1.6,,
