Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2013-14,22,LAC,NBA,SF,43,395,.355,20.2,.397,.107,.050,.058,.182,.603,.438,.846,.333,.286,.273,.301,.762,.000,0,.909,.301,.500,1,0
2014-15,23,TOT,NBA,SF,36,338,.343,19.8,.343,.143,.043,.000,.157,.657,.375,.700,.000,,.182,.326,.778,.000,0,1.000,.435,.450,0,0
2014-15,23,LAC,NBA,SF,25,263,.426,20.8,.278,.130,.019,.000,.130,.722,.533,.857,.000,,.286,.385,.875,.000,0,1.000,.487,.474,0,0
2014-15,23,PHO,NBA,SF,11,75,.063,16.5,.563,.188,.125,.000,.250,.438,.111,.333,.000,,.000,.000,.000,.000,0,,.143,.000,0,0
2015-16,24,DET,NBA,SF,37,429,.439,16.6,.459,.204,.051,.112,.092,.541,.467,.550,.400,.364,.444,.415,.619,.020,2,1.000,.491,.500,0,0
2016-17,25,DET,NBA,SF,12,198,.433,16.0,.517,.250,.083,.083,.100,.483,.581,.867,.200,.400,.333,.276,.833,.000,0,1.000,.345,.200,0,0
