Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,485,10248,,1%,51%,45%,3%,+4.4,+3.6,238,200,261,403,0,113,0,1029,453,165,338
4 seasons,,DET,NBA,,266,6136,,2%,68%,31%,,+6.3,+4.7,155,113,153,306,0,100,0,663,383,100,211
3 seasons,,SAC,NBA,,129,2170,,1%,16%,70%,13%,+3.2,+5.0,50,43,60,171,0,24,0,196,155,37,61
1 season,,PHI,NBA,,48,1056,,,1%,98%,,-1.4,-0.7,16,21,23,70,0,13,0,99,72,18,27
1 season,,TOR,NBA,,42,886,,,85%,15%,,+1.2,-1.8,17,23,25,33,0,15,0,71,66,10,39
