Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,485,10248,.488,6.1,.994,.427,.302,.162,.102,.006,.489,.623,.436,.348,.313,.208,.637,.023,78,1.000,.542,.385,2,0
4 seasons,,DET,NBA,,266,6136,.493,6.3,.994,.427,.286,.183,.098,.006,.495,.626,.451,.353,.320,.188,.640,.026,59,1.000,.625,.300,2,0
3 seasons,,SAC,NBA,,129,2170,.488,6.1,.995,.420,.340,.094,.141,.005,.488,.636,.410,.304,.359,.500,.593,.018,9,1.000,.500,1.000,0,0
1 season,,PHI,NBA,,48,1056,.465,5.2,.995,.475,.317,.139,.065,.005,.467,.571,.432,.276,.296,.000,.675,.022,5,,.500,.000,0,0
1 season,,TOR,NBA,,42,886,.471,6.3,.994,.388,.329,.178,.098,.006,.474,.643,.402,.431,.125,.000,.673,.015,5,,.000,,0,0
