Player,Sim,1,2,3,4,5,6,7,8,9
Luis Scola,,8.6,6.5,6.3,5.5,4.4,4.4,3.4,3.3,2.5
Josh Smith,93.8,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4
Thaddeus Young,93.7,7.4,6.3,6.2,5.5,4.5,4.1,3.5,3.1,2.1
Clarence Weatherspoon,92.1,8.6,6.0,5.8,5.1,5.0,4.5,4.0,3.6,3.3
Joe Smith,90.9,6.8,6.3,6.1,4.7,4.4,4.4,3.7,3.0,2.6
Eddie Johnson,90.9,7.4,6.5,5.6,5.3,4.3,4.0,3.9,3.0,1.8
James Posey,90.4,10.0,6.2,5.4,5.2,4.3,4.2,3.8,2.7,2.3
Keith Van Horn,90.2,6.5,6.3,6.3,5.5,4.8,3.7,3.5,2.8,2.3
Udonis Haslem,89.7,9.2,7.0,6.0,5.7,5.1,4.8,3.5,2.5,0.9
Frank Ramsey,89.2,10.0,7.3,6.5,5.9,5.3,4.0,3.6,3.3,3.2
Jeff Foster,88.9,8.3,6.5,5.7,5.4,4.5,4.2,2.7,1.6,0.6
