Player,Sim,1,2,3,4,5,6,7,8,9,10
Ronald Murray,,3.1,1.8,1.7,1.3,0.7,0.4,-0.3,-0.3,,
Rick Adelman,82.3,3.4,2.2,1.6,1.3,0.7,0.7,0.1,,,
Alec Burks,81.7,3.2,1.7,1.5,1.5,1.0,,,,,
Al Ferrari,81.7,3.3,1.9,1.4,1.4,0.9,0.0,,,,
Quinton Ross,80.9,3.2,1.7,1.6,0.7,0.6,0.0,-0.1,,,
Bucky Bockhorn,80.3,3.1,1.5,1.3,1.1,0.5,0.3,0.1,,,
Mike Evans,79.9,2.9,1.9,1.6,1.1,1.1,0.9,0.1,-0.1,-0.2,
Greg Minor,79.0,3.0,2.1,1.7,0.8,0.6,,,,,
Ennis Whatley,79.0,3.3,2.2,1.9,0.8,0.7,0.6,0.0,0.0,0.0,0.0
Gary Neal,77.6,3.5,2.5,1.9,1.4,1.0,0.6,,,,
Ron Lee,74.8,3.8,2.8,1.6,1.4,0.8,0.3,,,,
