Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2002-03,23,TOT,NBA,SG,14,62,28%,68%,5%,,,-5.0,-5.4,1,6,1,0,,0,,11,0,3,1
2002-03,23,MIL,NBA,SG,12,42,,100%,,,,-8.3,-9.0,1,2,1,0,,0,,7,5,3,1
2002-03,23,SEA,NBA,SG,2,20,86%,,14%,,,+2.7,+2.5,0,4,0,0,,0,,4,0,0,0
2003-04,24,SEA,NBA,PG,82,2021,67%,33%,,,,-3.7,-6.5,66,62,21,60,,14,,472,98,13,70
2004-05,25,SEA,NBA,SG,49,883,10%,90%,1%,,,-7.7,-13.5,23,22,12,25,,7,,150,28,7,28
2005-06,26,TOT,NBA,SG,76,2112,30%,67%,2%,,,-1.8,-1.9,50,53,32,0,,0,,447,0,23,74
2005-06,26,SEA,NBA,SG,48,1085,53%,46%,1%,,,-7.3,-5.5,26,35,18,31,,6,,279,63,13,39
2005-06,26,CLE,NBA,SG,28,1027,6%,90%,4%,,,+4.2,+2.2,24,18,14,19,,9,,168,47,10,35
2006-07,27,DET,NBA,SG,69,1477,47%,53%,,,,+1.1,-5.8,35,36,19,37,,8,,417,51,11,30
2007-08,28,TOT,NBA,PG,42,874,95%,5%,,,,-1.9,-5.8,37,35,12,0,,0,,325,0,6,25
2007-08,28,DET,NBA,PG,19,347,88%,12%,,,,+1.9,-7.4,16,11,4,8,,4,,136,17,3,8
2007-08,28,IND,NBA,PG,23,527,100%,,,,,-4.2,-3.1,21,24,8,16,,2,,189,28,3,17
2008-09,29,ATL,NBA,SG,80,1975,34%,65%,1%,,,+5.9,+8.0,54,51,23,85,,13,,358,98,23,37
2009-10,30,TOT,NBA,SG,75,1673,5%,73%,22%,,,-0.2,-0.2,47,34,10,0,,0,,304,0,14,45
2009-10,30,CHA,NBA,SG,46,993,8%,91%,1%,,,+3.3,+2.2,35,22,8,46,,5,,194,57,11,30
2009-10,30,CHI,NBA,SG,29,680,,48%,52%,1%,,-5.1,-4.2,12,12,2,31,,1,,110,23,3,15
