Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Earl Boykins,,6.0,4.5,4.1,3.5,2.9,2.3,1.0,1.0,0.8,0.3,0.1,0.0,-0.3
Kevin Grevey,90.2,5.8,4.4,3.6,3.4,3.3,2.1,2.0,1.0,0.7,0.1,,,
Pooh Richardson,89.5,5.9,4.4,4.1,4.0,3.8,2.1,1.4,1.0,0.2,-0.1,,,
Ramon Sessions,89.0,5.6,4.4,4.3,3.8,3.7,2.9,1.1,1.1,0.7,,,,
Vernon Maxwell,88.4,5.9,3.9,3.9,3.5,2.8,1.9,1.6,1.5,0.9,0.8,0.8,0.0,0.0
Hubert Davis,88.2,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.5,0.1,-0.1,
Craig Hodges,87.9,6.0,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.8,0.5,,,
Matt Guokas,86.7,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5,0.3,,,
Henry Bibby,86.3,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1.0,1.0,,,,
Darwin Cook,86.0,6.0,3.9,3.6,3.0,2.7,1.6,1.2,0.9,,,,,
Rory Sparrow,85.9,5.6,4.3,4.2,4.2,3.7,2.8,1.6,1.0,0.7,0.5,-0.1,-0.4,
