Player,Sim,1,2,3,4,5,6,7
Otto Porter,,5.6,2.7,0.0,,,,
Dick Mehen,83.8,5.6,1.9,0.6,,,,
Bill Closs,83.0,4.4,2.8,0.0,,,,
Vern Gardner,82.5,5.9,1.6,-0.1,,,,
Wah Wah Jones,81.1,5.9,2.1,0.8,,,,
Lee Shaffer,73.1,5.0,3.8,-0.6,,,,
Irv Torgoff,72.9,5.4,1.0,0.1,,,,
Landry Fields,71.7,5.3,3.4,1.1,0.4,0.3,,
Don May,71.6,6.1,2.9,1.3,0.5,0.3,0.2,0.0
Sonny Dove,69.0,4.3,3.0,0.4,0.0,-0.5,,
Travis Grant,68.3,5.6,4.1,1.5,0.5,,,
