Player,Sim,1,2,3,4,5,6,7,8,9,10
Sasha Pavlovic,,3.1,1.7,0.9,0.8,0.5,0.4,0.3,0.2,0.1,-1.2
Wayne Ellington,75.8,3.2,1.2,0.8,0.8,0.7,0.4,0.3,,,
Bucky Bockhorn,72.1,3.1,1.5,1.3,1.1,0.5,0.3,0.1,,,
Jon Sundvold,69.5,3.0,1.5,1.2,1.0,1.0,0.8,0.2,0.2,0.0,
Quinton Ross,67.3,3.2,1.7,1.6,0.7,0.6,0.0,-0.1,,,
Ennis Whatley,64.4,3.3,2.2,1.9,0.8,0.7,0.6,0.0,0.0,0.0,0.0
Jeff Judkins,63.9,3.0,1.8,0.7,0.6,0.2,,,,,
Marcus Banks,63.8,2.3,1.9,0.8,0.7,0.5,0.4,0.0,0.0,,
Shammond Williams,63.6,3.1,2.9,1.2,1.0,0.5,0.2,0.0,,,
Ronald Murray,63.5,3.1,1.8,1.7,1.3,0.7,0.4,-0.3,-0.3,,
Mike Barr,63.1,2.7,1.7,1.4,0.7,0.4,,,,,
