Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,24,IND,NBA,PF,29,1,511,5.7,15.9,.360,0.0,0.3,.000,5.7,15.6,.367,5.9,8.0,.743,4.2,5.5,9.7,2.0,1.2,0.6,1.5,4.9,17.3
2010-11,25,IND,NBA,PF,70,29,1535,6.7,14.4,.465,0.0,0.0,.000,6.7,14.3,.466,4.6,5.9,.779,3.4,5.2,8.6,1.0,0.9,0.4,1.8,3.8,18.0
2011-12,26,IND,NBA,PF,66,0,1442,4.8,12.0,.405,0.0,0.0,.000,4.8,11.9,.406,5.6,6.9,.813,2.8,4.4,7.2,0.7,1.3,0.2,1.6,4.0,15.3
2012-13,27,IND,NBA,PF,81,8,1366,4.6,10.7,.432,0.0,0.1,.000,4.6,10.6,.436,5.7,7.9,.720,4.2,5.6,9.8,0.9,0.8,0.5,2.1,4.0,15.0
2013-14,28,TOR,NBA,PF,64,4,978,3.4,7.2,.474,0.0,0.1,.000,3.4,7.1,.479,4.6,6.8,.681,4.4,6.1,10.6,0.6,1.0,0.7,1.7,4.9,11.5
2014-15,29,TOR,NBA,PF,74,8,1058,2.9,5.6,.521,0.0,0.2,.143,2.9,5.4,.538,3.3,4.7,.698,3.6,5.4,9.0,0.7,1.0,0.5,0.7,4.8,9.2
2015-16,30,CHO,NBA,PF,44,0,343,3.4,7.5,.451,0.2,0.3,.667,3.1,7.1,.441,4.0,6.8,.585,4.2,5.1,9.3,0.8,1.3,0.7,1.3,5.8,10.9
