Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Melvin Ely,,2.0,0.8,0.6,0.4,0.3,0.1,0.0,-0.1,-0.3,,,
Rickey Brown,69.8,1.8,0.9,0.9,0.7,0.4,,,,,,,
Evan Eschmeyer,64.6,2.5,0.7,0.5,0.2,,,,,,,,
Johan Petro,59.9,1.7,1.0,0.8,0.7,0.4,0.4,0.4,0.2,,,,
Jack Haley,59.9,2.2,0.4,0.3,0.2,0.1,0.0,0.0,0.0,-0.3,,,
Walt Davis,59.8,1.6,0.9,0.9,0.8,0.6,,,,,,,
Greg Kite,58.5,2.0,1.4,0.8,0.7,0.6,0.3,0.1,0.1,0.1,0.0,-0.1,-0.3
Bob Elliott,56.6,1.6,0.8,0.7,,,,,,,,,
Eric Fernsten,56.4,1.2,1.0,0.5,0.5,0.2,0.0,,,,,,
Mark McNamara,54.4,1.2,0.7,0.6,0.4,0.1,0.0,0.0,-0.2,,,,
Chris Anstey,54.1,1.9,0.6,0.3,,,,,,,,,
