Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Daniel Gibson,,4.1,3.8,2.6,2.4,2.0,0.5,0.5,,,,
Gerald Henderson,88.2,3.6,3.6,3.3,2.4,2.0,1.0,0.4,,,,
Bob Hansen,85.2,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1,,
T.J. Ford,84.8,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,,,
Fred Jones,84.8,4.8,4.0,2.6,2.2,1.6,1.2,0.0,,,,
Trenton Hassell,84.7,4.0,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1,,
Charlie Criss,84.5,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0.0,,,
Whitey Skoog,84.2,4.1,3.6,2.9,1.9,1.0,0.7,,,,,
Adrian Griffin,83.8,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1,0.0,,
Al Wood,83.6,4.4,4.2,2.5,2.3,1.0,0.9,,,,,
Jamaal Tinsley,83.5,4.4,3.7,2.8,2.8,1.7,0.9,0.8,0.7,0.1,-0.3,-0.3
