Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,143,0,1535,5.2,13.4,.389,1.6,5.1,.312,3.6,8.3,.436,1.8,2.0,.884,0.8,2.8,3.6,2.2,1.2,0.5,2.0,3.0,13.8
3 seasons,,SAC,NBA,,136,0,1462,5.2,13.5,.383,1.6,5.1,.306,3.6,8.4,.429,1.8,2.0,.890,0.8,2.8,3.6,2.0,1.2,0.5,2.0,3.1,13.7
1 season,,TOR,NBA,,7,0,73,5.9,10.8,.545,2.0,4.4,.444,3.9,6.4,.615,1.5,2.0,.750,1.5,2.0,3.5,5.9,1.5,0.0,3.5,2.0,15.3
