Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Calbert Cheaney,,4.1,3.9,3.2,3.2,2.8,2.3,1.2,1.2,0.8,0.4,0.3,0.0,-0.1
Randy Foye,90.6,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1.0,0.4,,,
Henry Bibby,88.4,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1.0,1.0,,,,
C.J. Watson,88.3,4.0,3.8,3.3,3.2,3.1,2.6,2.1,0.6,0.4,,,,
Johnny Egan,87.9,5.1,3.6,3.2,3.1,3.1,2.0,1.4,1.3,0.5,0.5,0.0,,
Shaun Livingston,86.5,4.6,4.4,3.3,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1,,
Anthony Johnson,86.2,4.5,4.0,3.6,2.8,2.0,1.8,1.2,1.1,1.0,0.7,0.4,0.3,-0.2
Bill Hanzlik,86.1,4.7,4.1,3.5,2.9,2.4,2.2,1.9,1.3,1.0,0.7,,,
Darrell Griffith,85.3,3.9,3.5,3.5,2.8,2.5,2.5,2.1,0.8,0.4,0.0,,,
Mike Glenn,85.0,4.4,3.9,2.9,2.9,2.8,2.8,2.1,1.9,1.5,0.1,,,
Maurice Evans,84.7,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,,,,
