Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,401,5181,,,8%,85%,8%,+3.5,+1.3,130,52,49,308,0,24,0,682,137,31,123
3 seasons,,UTA,NBA,,184,2743,,,14%,81%,5%,+2.6,+0.5,87,30,32,157,0,13,0,383,97,21,77
3 seasons,,HOU,NBA,,148,1687,,,1%,87%,12%,+10.2,+7.8,30,16,14,117,0,10,0,204,30,7,35
1 season,,NJN,NBA,,62,718,,,,92%,7%,-7.7,-11.1,12,6,3,50,0,2,0,95,14,3,11
1 season,,MEM,NBA,,7,33,,,,33%,67%,-24.7,-19.3,1,0,0,0,0,0,0,0,1,0,0
