Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Udonis Haslem,,9.2,7.0,6.0,5.7,5.1,4.8,3.5,3.2,2.5,1.4,1.1,0.9,0.4,,
Josh Smith,92.4,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4,2.3,1.1,0.0,,,
Danny Manning,90.9,9.8,7.9,6.5,5.3,5.2,5.2,3.5,3.4,2.6,2.6,1.0,0.8,0.7,0.4,0.2
Orlando Woolridge,90.7,9.0,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,2.3,1.8,1.5,0.8,,
Jeff Foster,89.6,8.3,6.5,5.7,5.4,4.5,4.2,4.2,3.0,2.7,1.6,0.6,0.4,0.4,,
Tyrone Hill,89.6,9.9,6.9,5.7,5.7,5.5,4.9,4.8,4.5,2.2,2.1,1.9,1.4,0.6,0.1,
Luis Scola,88.7,8.6,6.5,6.3,5.5,4.4,4.4,3.4,3.3,2.5,,,,,,
Brian Grant,88.4,8.7,7.7,6.3,5.9,5.3,4.9,4.8,4.7,3.5,1.6,1.0,0.2,,,
Cazzie Russell,88.2,7.3,7.1,6.6,5.9,5.2,5.2,4.1,3.0,2.2,2.0,1.8,1.1,,,
Frank Ramsey,88.1,10.0,7.3,6.5,5.9,5.3,4.0,3.6,3.3,3.2,,,,,,
Scott Wedman,87.9,8.6,7.8,7.1,6.0,4.9,4.8,4.7,2.7,2.2,2.2,1.6,1.2,-0.1,,
