Player,Sim,1,2,3,4,5,6,7,8,9,10
Eric Gordon,,5.3,4.6,3.2,2.9,2.5,2.1,1.1,0.7,,
Lionel Hollins,91.4,5.2,4.0,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1
Chris Childs,89.2,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1,
Jerry Sichting,88.6,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2
Maurice Evans,88.2,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,
Anthony Morrow,87.6,5.7,3.5,3.0,3.0,2.4,1.9,1.7,0.7,,
Tom Henderson,87.4,4.7,4.5,3.1,2.4,2.1,2.1,1.5,1.3,0.4,
Tyreke Evans,87.0,5.4,4.6,4.4,3.1,2.7,1.6,1.4,,,
Carlos Delfino,86.8,4.8,4.0,3.5,3.5,2.9,2.4,1.0,0.5,,
Darwin Cook,86.7,6.0,3.9,3.6,3.0,2.7,1.6,1.2,0.9,,
Isaiah Rider,86.7,5.8,5.0,3.4,2.5,1.9,1.7,1.6,0.8,0.2,
