Player,Sim,1,2,3,4,5,6,7,8
Eric Gordon,,5.3,4.6,3.2,2.9,2.5,2.1,1.1,0.7
Sedale Threatt,91.0,4.6,4.6,3.4,2.7,2.5,2.1,1.3,0.1
Jerry Sichting,89.8,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3
Chris Childs,89.4,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1
Lionel Hollins,89.3,5.2,4.0,3.4,2.9,2.3,1.8,0.6,0.1
Matt Guokas,89.2,5.2,4.7,4.2,2.5,2.3,1.5,1.2,0.5
Bimbo Coles,88.9,5.7,5.0,3.2,3.0,2.8,1.1,0.9,0.5
Tom Henderson,88.5,4.7,4.5,3.1,2.4,2.1,2.1,1.5,1.3
Derek Fisher,87.9,5.5,5.2,3.8,3.1,2.4,1.8,1.7,1.1
Maurice Evans,87.7,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.1
Anthony Morrow,87.6,5.7,3.5,3.0,3.0,2.4,1.9,1.7,0.7
