Defensive Rebound Pct
2008-09 NBA 27.3 (9th)
2009-10 NBA 28.6 (5th)
2010-11 NBA 34.2 (2nd)
2011-12 NBA 26.4 (4th)
2013-14 NBA 29.5 (3rd)
2014-15 NBA 26.3 (10th)
2015-16 NBA 28.4 (8th)
2016-17 NBA 29.1 (8th)
Active 29.1 (2nd)
Career NBA 29.1 (3rd)
Career 29.1 (4th)
