Player,Sim,1,2,3,4,5,6,7,8
Kevin Love,,14.3,11.4,10.0,8.7,8.5,5.3,4.9,1.1
Roger Brown,90.6,13.3,10.9,10.0,9.3,7.3,6.5,6.1,1.8
Peja Stojakovic,90.2,13.5,10.1,10.1,9.9,8.0,7.3,4.8,1.7
Cliff Hagan,88.5,11.8,11.7,10.8,10.0,8.5,6.5,6.0,1.3
Grant Hill,87.9,14.6,11.7,10.7,10.2,7.3,5.4,1.2,0.3
Scottie Pippen,87.9,12.7,11.8,11.2,11.2,8.6,5.7,4.0,2.3
Glen Rice,87.4,10.8,10.2,10.0,8.3,7.9,6.3,4.4,1.4
Horace Grant,87.2,14.1,10.3,10.0,9.5,9.1,8.0,6.4,4.2
Connie Hawkins,86.9,17.9,11.3,10.2,9.6,8.6,7.5,7.1,1.1
Shawn Kemp,86.9,11.7,11.2,10.6,10.0,9.1,6.7,6.1,2.1
Vern Mikkelsen,86.6,13.2,12.0,10.9,9.2,8.9,6.6,6.1,5.4
