Player Efficiency Rating
2010-11 NBA 24.3 (4th)
2011-12 NBA 25.4 (5th)
2013-14 NBA 26.9 (3rd)
Active 22.0 (10th)
Career NBA 22.0 (33rd)
Career 22.0 (33rd)
