Total Rebound Pct
2008-09 NBA 21.0 (3rd)
2009-10 NBA 21.5 (4th)
2010-11 NBA 23.6 (2nd)
2011-12 NBA 19.0 (4th)
Active 19.7 (3rd)
Career NBA 19.7 (6th)
Career 19.7 (7th)
