Offensive Box Plus/Minus
1997-98 NBA 4.5 (9th)
1998-99 NBA 4.9 (6th)
2000-01 NBA 5.0 (9th)
2005-06 NBA 6.0 (6th)
Career NBA 3.6 (27th)
Career 3.6 (28th)
