MVP Award Shares
1996-97 NBA 0.001 (17)
1998-99 NBA 0.270 (4)
1999-00 NBA 0.109 (7)
2000-01 NBA 0.904 (1)
2001-02 NBA 0.023 (9)
2002-03 NBA 0.070 (6)
2004-05 NBA 0.189 (5)
2005-06 NBA 0.001 (10)
Career 1.567 (26)
