Weekly Awards
"Apr 13, 1997 Player of the Week"
"Jan 18, 1998 Player of the Week"
"Jan 7, 2001 Player of the Week"
"Feb 18, 2001 Player of the Week"
"Nov 18, 2001 Player of the Week"
"Jan 20, 2002 Player of the Week"
"Jan 27, 2002 Player of the Week"
"Mar 3, 2002 Player of the Week"
"Nov 24, 2002 Player of the Week"
"Dec 1, 2002 Player of the Week"
"Mar 16, 2003 Player of the Week"
"Nov 16, 2003 Player of the Week"
"Dec 26, 2004 Player of the Week"
"Feb 13, 2005 Player of the Week"
"Mar 6, 2005 Player of the Week"
"Mar 27, 2005 Player of the Week"
"Dec 11, 2005 Player of the Week"
"Jan 15, 2006 Player of the Week"
"Mar 5, 2006 Player of the Week"
"Nov 5, 2006 Player of the Week"
"Nov 18, 2007 Player of the Week"
"Jan 6, 2008 Player of the Week"
"Apr 13, 2008 Player of the Week"
