Field Goal Attempts
1996-97 NBA 1504 (5th)
1997-98 NBA 1407 (5th)
1998-99 NBA 1056 (1st)
1999-00 NBA 1733 (1st)
2000-01 NBA 1813 (2nd)
2001-02 NBA 1669 (2nd)
2002-03 NBA 1940 (1st)
2004-05 NBA 1818 (1st)
2005-06 NBA 1822 (3rd)
2006-07 NBA 1313 (10th)
2007-08 NBA 1556 (3rd)
Career NBA 19906 (17th)
Career 19906 (22nd)
