Field Goals Missed
1996-97 NBA 879 (2nd)
1997-98 NBA 758 (4th)
1998-99 NBA 621 (1st)
1999-00 NBA 1004 (1st)
2000-01 NBA 1051 (2nd)
2001-02 NBA 1004 (2nd)
2002-03 NBA 1136 (1st)
2004-05 NBA 1047 (1st)
2005-06 NBA 1007 (2nd)
2006-07 NBA 732 (7th)
2007-08 NBA 844 (5th)
Career NBA 11439 (10th)
Career 11439 (12th)
