Points Per Game
1996-97 NBA 23.5 (6th)
1997-98 NBA 22.0 (8th)
1998-99 NBA 26.8 (1st)
1999-00 NBA 28.4 (2nd)
2000-01 NBA 31.1 (1st)
2001-02 NBA 31.4 (1st)
2002-03 NBA 27.6 (3rd)
2004-05 NBA 30.7 (1st)
2005-06 NBA 33.0 (2nd)
2006-07 NBA 26.3 (7th)
2007-08 NBA 26.4 (3rd)
Career NBA 26.7 (7th)
Career 26.7 (7th)
