2-Pt Field Goals
1998-99 NBA 377 (7th)
1999-00 NBA 640 (9th)
2000-01 NBA 664 (8th)
2001-02 NBA 587 (9th)
2002-03 NBA 720 (3rd)
2004-05 NBA 667 (4th)
2005-06 NBA 743 (4th)
2007-08 NBA 617 (9th)
Career NBA 7408 (37th)
Career 7408 (41st)
