Free Throw Attempts
1996-97 NBA 544 (10th)
1997-98 NBA 535 (8th)
1998-99 NBA 474 (3rd)
1999-00 NBA 620 (5th)
2000-01 NBA 719 (4th)
2001-02 NBA 585 (6th)
2002-03 NBA 736 (2nd)
2004-05 NBA 786 (2nd)
2005-06 NBA 829 (1st)
2006-07 NBA 610 (7th)
2007-08 NBA 797 (2nd)
Career NBA 8168 (16th)
Career 8168 (18th)
