Minutes Per Game
1996-97 NBA 40.1 (8th)
1998-99 NBA 41.5 (1st)
1999-00 NBA 40.8 (3rd)
2000-01 NBA 42.0 (2nd)
2001-02 NBA 43.7 (1st)
2002-03 NBA 42.5 (1st)
2003-04 NBA 42.5 (1st)
2004-05 NBA 42.3 (2nd)
2005-06 NBA 43.1 (1st)
2006-07 NBA 42.5 (1st)
2007-08 NBA 41.8 (1st)
Career NBA 41.1 (4th)
Career 41.1 (4th)
