Assists Per Game
2004-05 NBA 7.9 (5th)
2005-06 NBA 7.4 (8th)
2006-07 NBA 7.2 (8th)
2007-08 NBA 7.1 (9th)
Career NBA 6.2 (47th)
Career 6.2 (48th)
