Steals Per Game
1996-97 NBA 2.1 (7th)
1997-98 NBA 2.2 (5th)
1998-99 NBA 2.3 (3rd)
1999-00 NBA 2.1 (4th)
2000-01 NBA 2.5 (1st)
2001-02 NBA 2.8 (1st)
2002-03 NBA 2.7 (1st)
2004-05 NBA 2.4 (2nd)
2005-06 NBA 1.9 (7th)
2007-08 NBA 2.0 (8th)
Career NBA 2.2 (9th)
Career 2.2 (10th)
