Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Anfernee Hardaway,,14.4,10.7,8.1,7.8,7.1,5.0,2.9,2.3,2.0,1.1,0.4,0.2,0.2,-0.2
James Silas,87.7,13.1,9.8,7.9,7.4,7.0,5.7,5.5,2.4,0.7,0.6,,,,
Terrell Brandon,85.2,12.7,10.8,8.6,8.5,5.6,5.1,3.9,3.7,3.2,2.9,0.9,,,
Jim Paxson,83.4,10.2,9.5,7.7,7.5,6.5,4.8,3.4,1.4,1.3,1.2,0.3,,,
Archie Clark,83.2,11.4,11.0,8.1,7.9,6.2,6.2,5.6,4.0,2.7,1.7,,,,
Steve Francis,82.7,12.2,11.1,7.1,6.4,6.2,4.4,3.6,2.9,0.2,,,,,
Donnie Freeman,82.1,10.0,9.7,8.9,7.6,7.3,5.1,3.7,3.4,2.4,,,,,
David Thompson,81.8,12.7,12.4,10.7,9.5,6.4,5.4,3.0,2.0,1.0,,,,,
Kyle Lowry,81.3,11.7,11.6,7.1,7.0,5.6,4.9,4.3,3.6,3.4,0.5,,,,
Kenny Anderson,81.1,12.4,7.7,7.5,7.3,6.8,5.2,4.4,3.7,2.4,1.6,1.5,1.1,0.5,0.2
Gus Williams,81.1,11.6,10.2,8.5,8.3,7.7,5.9,5.1,4.2,3.6,2.8,0.1,,,
