Steals Per Game
2004-05 NBA 1.7 (8th)
2006-07 NBA 2.0 (4th)
2007-08 NBA 2.1 (6th)
2008-09 NBA 1.6 (10th)
2009-10 NBA 1.7 (7th)
2011-12 NBA 1.7 (6th)
Career NBA 1.6 (59th)
Career 1.6 (62nd)
