Minutes Per Game
2006-07 NBA 40.3 (6th)
2007-08 NBA 39.5 (6th)
2008-09 NBA 39.9 (1st)
2009-10 NBA 38.9 (6th)
Career NBA 34.9 (78th)
Career 34.9 (85th)
