Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,93,54,35.2,4.3,9.5,.447,1.2,3.3,.374,3.0,6.2,.485,.511,2.2,3.8,.590,1.2,4.0,5.2,4.2,1.5,0.4,1.8,2.0,12.0
3 seasons,,GSW,NBA,,52,13,31.7,3.7,7.6,.481,1.2,3.1,.383,2.5,4.5,.549,.559,1.5,3.0,.510,1.1,3.4,4.5,3.8,1.2,0.4,1.1,1.9,10.1
5 seasons,,PHI,NBA,,35,35,39.5,4.8,11.8,.404,1.1,3.3,.333,3.7,8.5,.431,.450,3.1,4.9,.643,1.3,4.4,5.7,4.8,1.8,0.4,2.5,2.3,13.8
1 season,,DEN,NBA,,6,6,40.5,6.3,12.7,.500,2.3,4.8,.483,4.0,7.8,.511,.592,3.0,4.2,.720,1.5,6.5,8.0,5.3,2.0,0.3,2.8,1.5,18.0
