Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Chris Duhon,,5.2,4.8,4.2,4.1,2.3,1.9,1.3,1.0,0.2,,,
Matt Guokas,92.9,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5,0.3,,
Pooh Richardson,88.3,5.9,4.4,4.1,4.0,3.8,2.1,1.4,1.0,0.2,-0.1,,
Quinn Buckner,88.3,5.4,4.6,4.4,3.2,2.0,1.6,1.5,1.3,0.5,0.2,,
Ricky Davis,87.3,5.7,5.0,4.4,4.2,3.0,2.8,1.9,1.1,0.2,0.2,0.1,-0.4
Tyreke Evans,86.6,5.4,4.6,4.4,3.1,2.7,1.6,1.4,,,,,
Martell Webster,86.6,6.3,5.0,4.4,3.5,1.8,1.5,1.3,0.9,0.0,0.0,,
Hubert Davis,86.5,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.5,0.1,-0.1
Eric Gordon,86.4,5.3,4.6,3.2,2.9,2.5,2.1,1.1,0.7,,,,
Bob Sura,86.0,5.2,4.9,4.8,4.6,4.1,1.8,1.6,0.7,0.4,0.1,,
Larry Steele,85.6,5.7,5.2,4.8,3.6,3.0,2.0,1.9,1.6,0.5,,,
