Player,Sim,1,2,3,4,5
Andre Roberson,,3.4,2.1,0.8,,
Billy Ray Bates,91.3,3.6,2.4,0.9,0.0,
Tim Hardaway,91.0,3.1,1.9,0.8,,
Ron Sobie,88.1,3.6,2.6,0.9,0.1,
Alfred McGuire,84.9,3.4,1.9,0.1,,
Louie Nelson,84.8,2.9,2.3,1.1,0.0,0.0
Terry Furlow,83.0,3.3,2.8,1.1,0.0,
Jiri Welsch,82.4,3.6,1.7,0.8,-0.4,
Curly Armstrong,82.2,3.5,3.1,0.6,,
Stan Stutz,82.0,3.9,1.7,1.1,,
Al Butler,81.3,4.1,2.1,1.1,-0.3,
