Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Pablo Prigioni,,3.4,3.2,2.3,1.5,,,,,,,,
Bill Gabor,87.2,3.5,2.9,2.8,1.5,0.5,0.0,,,,,,
Ken Charles,84.0,3.3,3.0,2.3,0.6,0.6,,,,,,,
Skeeter Swift,83.6,4.3,3.4,2.7,1.8,0.0,,,,,,,
Jaren Jackson,83.1,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0.0,0.0,0.0,0.0,-0.1
Eddie Robinson,82.9,4.0,3.0,2.2,0.8,0.2,,,,,,,
Quincy Pondexter,80.7,3.2,2.9,1.7,0.9,0.4,,,,,,,
Sonny Hertzberg,79.6,4.0,2.5,2.3,1.4,0.7,,,,,,,
Larry Wright,78.4,3.5,2.7,1.8,1.4,1.2,0.0,,,,,,
Joe Hamilton,78.1,4.1,2.9,2.9,2.2,0.2,0.2,,,,,,
Eldridge Recasner,77.9,2.9,2.6,2.5,0.8,0.1,0.0,0.0,0.0,,,,
