Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Hedo Turkoglu,,9.0,7.6,7.3,6.8,6.7,5.2,4.9,3.4,3.4,2.8,2.6,2.1,1.2,0.8,-0.5,,
Corey Maggette,92.0,8.6,8.1,7.0,6.9,6.3,5.0,3.9,3.4,3.3,3.3,3.0,2.6,0.7,0.1,,,
Tayshaun Prince,90.7,9.4,8.0,7.5,7.5,7.0,6.2,3.6,3.3,3.2,2.5,2.1,1.5,0.8,0.4,,,
Bill Bridges,90.2,8.6,7.6,6.7,6.7,6.6,6.5,3.9,3.9,3.1,2.8,2.6,0.6,0.2,,,,
Maurice Lucas,89.6,8.7,7.4,7.1,6.4,6.2,5.8,5.5,4.7,4.0,3.5,2.5,2.4,2.4,2.3,,,
Grant Long,89.5,8.4,7.7,6.6,6.5,5.1,5.0,4.9,4.6,2.7,2.6,2.4,1.6,1.4,0.4,0.2,,
Jerome Kersey,88.9,8.8,8.6,6.8,6.8,6.7,6.4,3.8,3.6,3.4,3.2,2.5,2.4,2.2,2.1,1.2,0.6,0.5
Mickey Johnson,88.7,8.5,8.3,7.3,7.2,5.5,5.3,4.1,3.7,3.5,2.7,1.8,0.7,,,,,
Christian Laettner,88.1,11.6,7.5,6.6,6.2,6.2,5.1,5.0,4.3,4.1,2.7,2.6,2.3,0.7,,,,
Antonio McDyess,87.7,9.4,7.8,6.7,6.2,6.0,5.7,5.6,4.6,4.2,3.6,3.2,3.0,1.8,1.2,0.8,,
Derrick McKey,87.7,7.4,7.4,6.6,6.4,6.3,5.7,5.0,4.1,3.9,2.1,1.8,1.6,1.6,1.4,0.4,,
