Player,Sim,1,2,3,4,5,6,7,8,9
Jason Kapono,,4.2,1.9,1.3,1.2,0.8,0.5,0.5,0.1,-0.2
Gus Gerard,89.2,4.3,1.9,1.5,1.3,1.3,0.5,0.3,,
Brian Cook,83.5,4.5,2.0,1.8,1.1,0.6,0.4,0.0,-0.1,-0.2
Marty Conlon,80.7,3.1,1.8,1.4,1.0,0.8,0.6,0.3,0.0,-0.1
Darren Daye,79.9,3.8,2.4,1.3,1.2,0.6,,,,
Darrell Arthur,79.5,3.8,2.3,1.7,1.7,0.9,0.7,0.3,,
Don Adams,75.2,3.6,2.9,1.6,1.1,0.9,0.8,0.7,,
Anthony Bonner,75.2,4.1,2.4,1.8,1.6,0.7,0.0,,,
Mark Madsen,74.9,2.7,1.9,1.1,1.1,0.8,0.6,0.4,-0.1,-0.3
Alex Hannum,74.3,5.1,2.1,1.7,1.6,0.5,0.4,,,
Jarvis Hayes,73.7,2.9,2.1,1.7,1.5,0.8,0.7,0.5,,
